"STYLE_CD","COUNT(*)"
AXJCM16221,3
AXJCM16516,3
AXJCM17211,3
AXJCM17312,3
AXJCM17641,6
AXJCM18151,3
AXJCM18251,6
AXJCM19153,6
AXJCM20421,3
AXJCM20483,3
AXJCM21321,12
AXJCM21712,3
AXJCM22251,3
AXJCW17451,3
AXJCW17534,3
AXJCW18111,3
AXJCW18221,3
AXJCW18222,3
AXJCW18233,3
AXJCW18234,3
AXJCW19431,3
AXJCW19441,3
AXJCW19462,3
AXJS44211,1
AXJW44411,1
AXJW47111,1
AXLA47211,1
AXLA47611,1
AXLM47711,1
AXLM47811,1
AXLM48611,1
AXLM53711,4
AXLS47111,1
AXLS48411,1
AXLS49411,1
AXLS56211,3
AXLW47611,1
AXMA41121,1
AXMM44131,2
AXMM44711,1
AXMM46811,1
AXMM48611,1
AXMM48921,1
AXMM54511,8
AXMM54911,1
AXMM55011,1
AXMM56111,6
AXMS46011,1
AXMS46021,1
AXMS46521,1
AXMS49111,1
AXMS54221,1
AXMW44111,1
AXNM44511,1
AXNM44911,1
AXNM46611,1
AXNM46711,1
AXNM46811,1
AXNM47411,1
AXNM49511,1
AXNS54411,1
AXNS54811,1
AXNS57511,1
AXNW41311,1
AXNW43111,1
AXNW43711,1
AXNW44111,1
AXNW45111,1
AXNW45211,2
AXNW45511,2
AXNW49611,1
AXOA47311,1
AXOM47111,1
AXOM47211,1
AXOM49311,1
AXOM56711,3
AXOM58211,3
AXOS53411,1
AXOW48211,1
AXPAA15721,14
AXPAA19211,6
AXPAA19261,3
AXPAA20272,3
AXPAM16242,6
AXPAM16531,4
AXPAM16613,3
AXPAM17115,3
AXPAM17211,3
AXPAM17315,3
AXPAM17452,6
AXPAM17511,6
AXPAM19726,3
AXPAM19742,3
AXPAM19811,3
AXPAS16211,6
AXPAS16422,6
AXPAS17411,6
AXPAS19993,3
AXPAW15002,12
AXPAW15321,24
AXPAW15423,5
AXPAW16111,9
AXPAW16412,4
AXPAW16520,3
